Timestamp,Network_out_bytes,Network_in_bytes,CPU_utilization,Network_packets_in_count,CPU_credit_usage_count,Network_packets_out_count
2023-11-10 23:00:00,3201.616666666667,3140.016666666667,0.1416488452810078,21.85,0.0070998333333333,23.53333333333333
2023-11-11 00:00:00,3445.1833333333334,3445.266666666667,0.1413381163123301,25.316666666666663,0.00647375,21.28333333333333
2023-11-11 01:00:00,8914.433333333332,9329.833333333334,0.2445335281923932,63.583333333333336,0.0122703333333333,48.71666666666667
2023-11-11 02:00:00,5398.3,82741.53333333334,0.4777114013151745,89.86666666666666,0.0251765833333333,33.4
2023-11-11 03:00:00,566.8166666666667,739.05,0.0915093056685862,5.666666666666667,0.00383475,7.683333333333334
2023-11-11 04:00:00,1281.8166666666666,1243.45,0.0944708511396911,10.316666666666666,0.0054145,13.15
2023-11-11 05:00:00,2235.333333333333,2125.4333333333334,0.1054358488668189,15.2,0.0047833333333333,17.95
2023-11-11 06:00:00,1690.3833333333334,1646.9666666666667,0.2044693979901977,13.1,0.0103955,15.433333333333334
2023-11-11 07:00:00,5823.566666666667,5366.483333333334,0.1805455322066043,39.15,0.0089811666666666,43.45
2023-11-11 08:00:00,862.3833333333333,1302.3333333333333,0.0779830920226011,8.1,0.00419575,10.816666666666666
2023-11-11 09:00:00,645.6666666666666,700.9666666666667,0.0748849345296325,6.916666666666667,0.0038305,9.916666666666666
2023-11-11 10:00:00,2218.2,2351.45,0.1055284671867224,18.016666666666666,0.0051655833333333,20.75
2023-11-11 11:00:00,8121.233333333334,7824.55,0.2087077610065467,53.91666666666666,0.0093304166666666,53.98333333333333
2023-11-11 12:00:00,3333.266666666667,3482.3166666666666,0.1364180711288742,24.016666666666666,0.0078951666666666,27.933333333333334
2023-11-11 13:00:00,7399.516666666666,6897.05,0.211304549297178,47.4,0.0100669166666666,49.95
2023-11-11 14:00:00,1061.4,5832.416666666667,0.0889153861817498,12.933333333333334,0.0046167499999999,13.283333333333331
2023-11-11 15:00:00,846.65,736.2,0.0747453099226307,7.15,0.004158,10.2
2023-11-11 16:00:00,4659.233333333334,4227.933333333333,0.1471542274287712,29.266666666666666,0.0071175833333333,32.15
2023-11-11 17:00:00,1893.6833333333332,2145.383333333333,0.1139575112684744,16.3,0.0058826666666666,19.616666666666667
2023-11-11 18:00:00,709.2833333333333,749.7,0.0750609788784568,7.316666666666666,0.0038242499999999,10.483333333333333
2023-11-11 19:00:00,1003.2833333333332,1121.5166666666669,0.0836280936261664,9.45,0.0040405833333333,12.116666666666667
2023-11-11 20:00:00,688.3333333333334,855.45,0.0887647058197323,7.366666666666666,0.004528,10.283333333333331
2023-11-11 21:00:00,831.6666666666666,846.3666666666667,0.0803888477309105,8.316666666666666,0.0039623333333333,11.1
2023-11-11 22:00:00,1631.6833333333334,1879.2333333333331,0.0889134428743298,13.416666666666666,0.00437925,18.95
2023-11-11 23:00:00,2812.233333333333,2845.483333333333,0.1221511401514387,20.466666666666665,0.0056645833333333,21.05
2023-11-12 00:00:00,1430.0666666666666,1519.4333333333334,0.0971997699205709,11.916666666666666,0.0054242499999999,14.5
2023-11-12 01:00:00,912.9666666666668,987.8666666666668,0.0832591691364028,8.866666666666667,0.0041605,11.766666666666667
2023-11-12 02:00:00,9097.866666666669,6573.183333333333,0.1804149505062048,43.65,0.0067448333333333,50.2
2023-11-12 03:00:00,13028.366666666669,10308.333333333334,0.2698889737460836,67.35,0.01556075,68.95
2023-11-12 04:00:00,1222.3833333333334,1236.5666666666666,0.0885824019216822,10.683333333333334,0.0046887499999999,12.983333333333333
2023-11-12 05:00:00,1062.5666666666666,7924.75,0.3864135998996441,13.7,0.0191670833333333,13.016666666666667
2023-11-12 06:00:00,792.3833333333333,806.3666666666667,0.1833016887406968,7.916666666666667,0.0091722499999999,10.95
2023-11-12 07:00:00,2074.2833333333333,2120.9,0.1360933592664653,14.716666666666669,0.00648575,18.016666666666666
2023-11-12 08:00:00,2045.65,1898.2666666666669,0.1001583826499242,14.716666666666669,0.00486375,18.466666666666665
2023-11-12 09:00:00,2177.7833333333333,2166.9333333333334,0.1084915562965043,16.316666666666666,0.0059691666666666,18.2
2023-11-12 10:00:00,2794.1833333333334,2715.15,0.1222030915768493,19.9,0.0058435833333333,21.9
2023-11-12 11:00:00,4204.2,3533.2833333333333,0.12210707175729,21.55,0.00579325,24.616666666666667
2023-11-12 12:00:00,4062.266666666667,3581.266666666667,0.1359723587715746,23.883333333333333,0.0068853333333333,30.6
2023-11-12 13:00:00,4208.533333333334,4167.916666666667,0.1442021034763964,29.8,0.00734075,37.3
2023-11-12 14:00:00,2775.65,7501.2,0.1195225630349791,21.35,0.0056623333333333,22.366666666666667
2023-11-12 15:00:00,1151.0166666666669,1309.0666666666666,0.1057576975284838,10.75,0.0054536666666666,15.233333333333333
2023-11-12 16:00:00,2980.5333333333333,2803.0666666666666,0.1280820394327366,20.216666666666665,0.0058186666666666,23.78333333333333
2023-11-12 17:00:00,9096.65,8651.3,0.2666645160466167,58.333333333333336,0.0142775,55.73333333333333
2023-11-12 18:00:00,3359.6,3498.083333333333,0.1522724953913192,22.916666666666668,0.0071207499999999,26.566666666666663
2023-11-12 19:00:00,10834.533333333333,8183.733333333334,0.2165309964532637,51.25,0.0105974166666666,59.833333333333336
2023-11-12 20:00:00,2836.4666666666667,1975.85,0.0998318232288973,14.7,0.0058853333333333,19.73333333333333
2023-11-12 21:00:00,4945.216666666666,4047.616666666667,0.1361325726680243,27.35,0.0058846666666666,30.3
